3M,6M,12M,24M
11173897,11173897,11173897,11173897
11857141,11561329,11561329,11561329
11991799,11991799,11933910,11933910
12267949,14472914,11991799,11991799
14472914,15377048,14472914,14472914
15763639,15763639,14933186,15377048
17632409,16516486,15377048,15763639
17990907,16743463,15763639,16516486
18448260,17632409,16743463,16743463
19175800,17825403,17632409,17632409
19689453,17990907,17825403,17825403
20163705,18448260,17990907,18448260
20403188,19175800,18448260,19175800
21421763,19689453,19175800,20163705
21845878,20163705,19689453,20403188
22210141,20403188,20163705,21421763
22572887,21421763,20403188,21845878
23603310,21845878,21421763,22210141
23653554,22201141,21845878,22572887
23764088,22572887,22210141,22615813
23914740,22615813,22572887,23150844
24324377,23150844,22615813,23653554
24503296,23603310,23653554,23914740
24607513,23653554,23914740,24232090
24614786,23764088,24232090,24503296
24727795,24232090,24503296,24727795
24910463,24503296,24607513,24910463
25377850,24607513,24613786,25377850
25617222,24613786,24727795,25404231
25881304,24727795,24910463,25617222
26240272,24910463,25377850,26240272
26383858,25377850,25404231,26383858
26476223,25404231,25617222,26476223
26655637,25617222,26383858,27837951
27024977,26240272,26476223,28039912
27487331,26250015,26655637,28097536
27837951,26383858,27024977,28370676
28039912,26476223,27487331,29651264
28097536,26655637,27837951,29736014
28370676,27024977,28039912,29884416
29651264,27400148,28097536,30101104
29736014,28039912,28370676,30130345
29884416,28097536,29651264,30146703
30101104,28370676,29736014,30172716
30130345,29651264,29884416,30525706
30146703,29884416,30101104,30570419
30172716,30101104,30130345,30982983
30525706,30130345,30146703,32406344
30545639,30146703,30172716,32761496
30570419,30172716,30525706,32959318
30982983,30525706,30545639,32976770
31279535,30545639,30563028,33367686
31543344,30982983,30570419,34303377
31861014,31543344,30982983,34406414
32406344,31861014,31861014,35066412
32761496,32406344,32406344,35197624
32788450,32761496,32761496,35616868
32976770,32959318,32788450,35655048
33367686,33367686,32959318,35839450
34303377,34303377,32976770,35989699
34406414,34406414,33367686,36192898
34449907,34449907,34303377,36300607
35028047,35028047,34406414,37069639
35363593,35066412,35028047,37298891
35412429,35197624,35066412,37476428
35616868,35412429,35193895,38017803
35839450,35616868,35197624,38280568
35989699,35655048,35363593,38318504
36156882,35839450,35412429,38994667
36192898,35989699,35616868,39112225
36300607,36156882,35655048,39208990
37069639,36192898,35839450,39590544
37298891,37069639,35989699,39710049
37476428,37298891,36156882,40748000
37553535,37476428,36192898,40772873
38280568,37553535,36300607,40983013
38472063,38280568,37069639,41079022
38994667,38318504,37298891,41164115
39208990,38472063,37476428,41181665
39590544,38994667,37553535,41185748
39710049,39112225,38017803,41235443
39728873,39208990,38280568,41477606
40748000,39590544,38318504,41661055
40772873,40748000,38994667,41817868
41164115,40772873,39112225,41926846
41181665,41079022,39208990,42008535
41185748,41164115,39590544,42202758
41235443,41181665,39710049,43327758
41477606,41185748,40772873,43443613
41661055,41661055,40983013,43749062
41817868,41817868,41079022,44078145
41926846,41926846,41164115,45078082
42008535,42008535,41185748,45194564
42202758,42202758,41235443,45839584
43327758,42679490,41477606,45931101
43443616,43443613,41661055,46100390
43759364,43749062,41817868,46252060
44859353,43759364,41926846,46616096
45078082,44078145,42008535,47398487
45194564,44828025,42202758,47590294
45409866,45078082,42679490,47621245
45543455,45194564,43443613,48019069
45931101,45409866,43749062,49513164
46100390,45543455,43759364,49685484
46252060,45839584,44078145,50936817
46616096,45931101,45078082,51197740
46993408,46100390,45194564,51504925
47116533,46252060,45409866,51545547
47590294,46616096,45543455,52286421
47621245,46993408,45839584,54357895
48019069,47398487,45931101,54683158
49292365,47590294,46100390,55305930
49513164,47621245,46252060,55837449
49685484,48019069,46616096,56011314
51504925,49292365,46993408,56035535
52217968,49353889,47398487,56975893
52286421,49513164,47590294,57518965
54357895,49685484,47621245,58011621
54683158,50958964,48019069,59659447
55191581,51197740,49292365,59862975
55374194,51504925,49513164,60273938
55655285,51545547,49685484,61022874
55837449,52286421,50936817,61728800
56008908,54357895,51197740,61743365
56011314,55191581,51504925,61799579
