epoch,mean_test_accuracy,std_test_accuracy,n_runs,Delta accuracy
1,0.522561,0.045122,4,0.522561
2,0.545122,0,4,0.022561
3,0.545122,0,4,0
4,0.545122,0,4,0
5,0.522561,0.045122,4,-0.022561
6,0.5,0.052102,4,-0.022561
7,0.545122,0,4,0.045122
8,0.545122,0,4,0
9,0.545122,0,4,0
10,0.545122,0,4,0
11,0.545122,0,4,0
12,0.5,0.052102,4,-0.045122
13,0.454878,0,4,-0.045122
14,0.477439,0.045122,4,0.022561
15,0.545122,0,4,0.067683
16,0.545122,0,4,0
17,0.545122,0,4,0
18,0.545122,0,4,0
19,0.545122,0,4,0
20,0.545122,0,4,0
,,,,
,,,,2.72561
