epoch,mean_test_accuracy,std_test_accuracy,n_runs
1,0.545102,0.000000,4
2,0.547890,0.005577,4
3,0.522551,0.045102,4
4,0.522551,0.045102,4
5,0.522551,0.045102,4
6,0.500000,0.052079,4
7,0.522551,0.045102,4
8,0.515051,0.042522,4
9,0.527551,0.049344,4
10,0.537551,0.061937,4
11,0.522551,0.045102,4
12,0.522551,0.045102,4
13,0.500000,0.052079,4
14,0.522551,0.045102,4
15,0.525166,0.047104,4
16,0.522561,0.045108,4
17,0.583234,0.071025,4
18,0.587493,0.072009,4
19,0.589379,0.064455,4
20,0.582808,0.075412,4
