epoch,mean_test_accuracy,std_test_accuracy,n_runs,Delta accuracy
1,0.522561,0.045122,4,0.522561
2,0.522561,0.045122,4,0
3,0.523171,0.045543,4,0.00061
4,0.530183,0.05222,4,0.007012
5,0.477439,0.045122,4,-0.052744
6,0.49878,0.053548,4,0.021341
7,0.470427,0.051522,4,-0.028353
8,0.477439,0.045122,4,0.007012
9,0.477439,0.045122,4,0
10,0.477439,0.045122,4,0
11,0.5,0.052102,4,0.022561
12,0.477439,0.045122,4,-0.022561
13,0.477439,0.045122,4,0
14,0.477439,0.045122,4,0
15,0.500305,0.052457,4,0.022866
16,0.5,0.052102,4,-0.000305
17,0.522256,0.045732,4,0.022256
18,0.546341,0.002439,4,0.024085
19,0.515041,0.052102,3,-0.0313
20,0.563415,0.036585,4,0.048374
,,,,
,,,,2.817075
