epoch,mean_test_accuracy,std_test_accuracy,n_runs,Delta accuracy
1,0.264851,0.031741,4,0.264851
2,0.264851,0.031741,4,0
3,0.264851,0.031741,4,0
4,0.264851,0.031741,4,0
5,0.264851,0.031741,4,0
6,0.264851,0.031741,4,0
7,0.264851,0.031741,4,0
8,0.249563,0.021549,4,-0.015288
9,0.270676,0.020093,4,0.021113
10,0.270676,0.017481,4,0
11,0.275189,0.021423,4,0.004513
12,0.259027,0.030208,4,-0.016162
13,0.282033,0.053995,4,0.023006
14,0.304164,0.094092,4,0.022131
15,0.268346,0.036007,4,-0.035818
16,0.321782,0.075663,4,0.053436
17,0.296593,0.080807,4,-0.025189
18,0.331538,0.092915,4,0.034945
19,0.312172,0.107603,4,-0.019366
20,0.332848,0.106987,4,0.020676
,,,,
,,,,1.66424
