epoch,mean_test_accuracy,std_test_accuracy,n_runs,Delta accuracy
1,0.241701,0,4,0.241701
2,0.241701,0,4,0
3,0.241701,0,4,0
4,0.241701,0,4,0
5,0.241701,0,4,0
6,0.241701,0,4,0
7,0.241701,0,4,0
8,0.241701,0,4,0
9,0.241701,0,4,0
10,0.241701,0,4,0
11,0.251019,0.01076,4,0.009318
12,0.251019,0.01076,4,0
13,0.255679,0.009319,4,0.00466
14,0.280722,0,4,0.025043
15,0.280722,0,4,0
16,0.280722,0,4,0
17,0.261211,0.022529,4,-0.019511
18,0.241701,0,4,-0.01951
19,0.241701,0,4,0
20,0.261357,0.022362,4,0.019656
,,,,
,,,,1.306785
