epoch,mean_test_accuracy,std_test_accuracy,n_runs
1,0.545102,0.000000,2
2,0.545102,0.000000,2
3,0.545102,0.000000,2
4,0.454898,0.000000,2
5,0.500000,0.063784,2
6,0.545102,0.000000,2
7,0.454898,0.000000,2
8,0.500000,0.063784,2
9,0.545102,0.000000,2
10,0.545102,0.000000,2
11,0.545102,0.000000,2
12,0.545102,0.000000,2
13,0.545102,0.000000,2
14,0.545102,0.000000,2
15,0.545102,0.000000,2
16,0.545102,0.000000,2
17,0.545102,0.000000,2
18,0.545102,0.000000,2
19,0.545102,0.000000,2
20,0.545102,0.000000,2
