epoch,mean_test_accuracy,std_test_accuracy,n_runs
0,0.000000,0.000000,1
1,0.666667,0.381881,3
2,0.666667,0.381881,3
3,0.500000,0.250000,3
4,0.500000,0.250000,3
5,0.500000,0.250000,3
6,0.500000,0.250000,3
7,0.500000,0.250000,3
8,0.500000,0.353553,2
9,0.500000,0.353553,2
10,0.500000,0.353553,2
11,0.500000,0.353553,2
12,0.500000,0.353553,2
13,0.500000,0.353553,2
14,0.500000,0.353553,2
15,0.500000,0.353553,2
16,0.750000,0.000000,1
17,0.750000,0.000000,1
18,0.750000,0.000000,1
19,0.750000,0.000000,1
20,0.750000,0.000000,1
