3M,24M
11173897,11173897
11857141,11561329
11991799,11933910
12267949,11991799
14472914,14472914
15763639,15377048
17632409,15763639
17990907,16516486
18448260,16743463
19175800,17632409
19689453,17825403
20163705,18448260
20403188,19175800
21421763,20163705
21845878,20403188
22210141,21421763
22572887,21845878
23603310,22210141
23653554,22572887
23764088,22615813
23914740,23150844
24324377,23653554
24503296,23914740
24607513,24232090
24614786,24503296
24727795,24727795
24910463,24910463
25377850,25377850
25617222,25404231
25881304,25617222
26240272,26240272
26383858,26383858
26476223,26476223
26655637,27837951
27024977,28039912
27487331,28097536
27837951,28370676
28039912,29651264
28097536,29736014
28370676,29884416
29651264,30101104
29736014,30130345
29884416,30146703
30101104,30172716
30130345,30525706
30146703,30570419
30172716,30982983
30525706,32406344
30545639,32761496
30570419,32959318
30982983,32976770
31279535,33367686
31543344,34303377
31861014,34406414
32406344,35066412
32761496,35197624
32788450,35616868
32976770,35655048
33367686,35839450
34303377,35989699
34406414,36192898
34449907,36300607
35028047,37069639
35363593,37298891
35412429,37476428
35616868,38017803
35839450,38280568
35989699,38318504
36156882,38994667
36192898,39112225
36300607,39208990
37069639,39590544
37298891,39710049
37476428,40748000
37553535,40772873
38280568,40983013
38472063,41079022
38994667,41164115
39208990,41181665
39590544,41185748
39710049,41235443
39728873,41477606
40748000,41661055
40772873,41817868
41164115,41926846
41181665,42008535
41185748,42202758
41235443,43327758
41477606,43443613
41661055,43749062
41817868,44078145
41926846,45078082
42008535,45194564
42202758,45839584
43327758,45931101
43443616,46100390
43759364,46252060
44859353,46616096
45078082,47398487
45194564,47590294
45409866,47621245
45543455,48019069
45931101,49513164
46100390,49685484
46252060,50936817
46616096,51197740
46993408,51504925
47116533,51545547
47590294,52286421
47621245,54357895
48019069,54683158
49292365,55305930
49513164,55837449
49685484,56011314
51504925,56035535
52217968,56975893
52286421,57518965
54357895,58011621
54683158,59659447
55191581,59862975
55374194,60273938
55655285,61022874
55837449,61728800
56008908,61743365
56011314,61799579
56975893,61867644
57518965,62910762
57651976,63214792
58011621,63665661
58872286,64253579
59659447,64335106
59862975,64745710
59889122,64860105
60273938,65146108
61022874,65182291
61728800,65216610
61743365,65700986
61799579,65770204
61867644,66276629
62256718,66480703
62570364,66511850
62627881,66622988
63214792,66815589
64253579,67476244
64335106,67634915
64745710,67779779
65146108,67858166
65182291,67916518
65216610,68828978
65770204,69114318
66271949,69294609
66276629,69445602
66480703,69457980
66511850,69719119
66622988,69841309
67476244,70036610
67779779,70439269
67905129,72244244
67916518,73051020
67955085,73942616
68273319,74945793
68828978,75799922
69262492,75804093
69294609,76009725
69385027,77157098
69457980,77343641
69841309,77518813
70036610,77767333
70439269,77865641
70460714,78282621
70482254,79261749
72244244,79742065
72986996,79758419
73357635,79778957
73942616,80014837
74688361,80306672
74904081,80566139
74945793,80586959
75453142,81274355
75799922,81477415
75804093,82220356
75833259,82241096
76006961,84425932
76009725,84933542
76704585,85588044
77157098,85784479
77518813,85926465
77767333,86087049
77865641,86973716
78282621,87091749
79186641,87615223
79261749,88659099
79758419,89184357
79778957,89654844
80306672,90580532
81274355,90972406
81477415,91059743
81831129,91724418
81903722,91801361
82134774,92081965
82241096,93368423
83623750,94399640
84352636,95740777
84425932,95774215
84933542,97131221
85539019,97137847
85784479,97360188
85926465,97735991
86087049,97789056
86553440,98117712
86973716,98300138
87091749,98904731
87615223,99135497
88659099,99527898
88964748,
89654844,
90580532,
90972406,
91059743,
91724418,
91860292,
92081965,
93368423,
94399640,
95283342,
95740777,
95774215,
96672854,
96928021,
97018029,
97131221,
97213684,
97735991,
97773091,
98117712,
98498849,
98904731,
99135497,
99527898,
35066412,
3519762,
62910762,
88879029,
